"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_17792","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","Phormidesmis_ANT.LACV5.1"
"ESV_17793","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","A21b","Family A21b"
"ESV_17794","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family Clostridiaceae_1"
"ESV_17795","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Family Caldilineaceae"
"ESV_17796","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_17797","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"ESV_17798","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV_17799","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Order Gastranaerophilales","Order Gastranaerophilales"
"ESV_178","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ESV_17800","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella"
"ESV_17801","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Family Acetobacteraceae"
"ESV_17802","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_17803","Bacteria","Proteobacteria","Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria"
"ESV_17804","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Order Ignavibacteriales","Order Ignavibacteriales"
"ESV_17805","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Family Flavobacteriaceae"
"ESV_17806","Bacteria","Elusimicrobia","Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa"
"ESV_17807","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_17808","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
