"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_100","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter"
"ESV_10003","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"ESV_10004","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family Sphingomonadaceae"
"ESV_10005","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"ESV_10006","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_10007","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_10008","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_1003","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_1004","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"ESV_10059","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Shapirobacteria","Order Candidatus_Shapirobacteria","Order Candidatus_Shapirobacteria"
"ESV_10063","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ESV_10064","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_10065","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Order Oligoflexales","Order Oligoflexales"
"ESV_10066","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10068","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_10071","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_10073","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_10078","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_10080","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_10086","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV_10087","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10088","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_10089","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","Family Babeliaceae"
"ESV_1009","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"ESV_10090","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_10091","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_10105","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_10118","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_1012","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_10121","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_10122","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"ESV_10123","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_10126","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Family Caulobacteraceae"
"ESV_10128","Bacteria","Actinobacteria","Actinobacteria","Class Actinobacteria","Class Actinobacteria","Class Actinobacteria"
"ESV_1013","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandarakinorhabdus"
"ESV_10132","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Family Caldilineaceae"
"ESV_10134","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_10137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_10138","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Family Micromonosporaceae"
"ESV_10139","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"ESV_1014","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_10140","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ESV_10141","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV_1015","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_1016","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"ESV_1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Family Rhizobiales_Incertae_Sedis"
"ESV_102","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Chroococcidiopsaceae","Aliterella_CE595"
"ESV_1020","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_10212","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_10214","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_10218","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Calothrix_PCC-6303"
"ESV_1022","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_10220","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_10222","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_10223","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29"
"ESV_10226","Bacteria","Cyanobacteria","Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia"
"ESV_10232","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Family NS11-12_marine_group"
"ESV_10233","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ESV_10234","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_10235","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"ESV_10236","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10237","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Order Bacteroidales","Order Bacteroidales"
"ESV_1024","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter"
"ESV_1025","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Order Chitinophagales","Order Chitinophagales"
"ESV_10253","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ESV_1027","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum"
"ESV_10272","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ESV_10274","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ESV_10275","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_10276","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Dechloromonas"
"ESV_1028","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_10283","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_10285","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_10288","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella"
"ESV_10289","Bacteria","Chloroflexi","TK10","Class TK10","Class TK10","Class TK10"
"ESV_1029","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"ESV_10290","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_10292","Bacteria","Acidobacteria","Subgroup_6","Class Subgroup_6","Class Subgroup_6","Class Subgroup_6"
"ESV_10296","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","Order RBG-13-54-9","Order RBG-13-54-9"
"ESV_10297","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV_10298","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus"
"ESV_103","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"ESV_1030","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_1032","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Marisediminicola"
"ESV_1033","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ESV_1034","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Family Microscillaceae"
"ESV_1035","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ESV_1036","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ESV_10361","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_10365","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera"
"ESV_10367","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria"
"ESV_10369","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_1037","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_10370","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Family Chthoniobacteraceae"
"ESV_10373","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_10375","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Order Myxococcales","Order Myxococcales"
"ESV_10376","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family Sphingomonadaceae"
"ESV_10383","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_10385","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera"
"ESV_1039","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera"
"ESV_10391","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10392","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","LiUU-11-161","Family LiUU-11-161"
"ESV_10393","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_104","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"ESV_1040","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovarius"
"ESV_1041","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_1044","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Family Pirellulaceae"
"ESV_10445","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","Order Obscuribacterales","Order Obscuribacterales"
"ESV_10446","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","Phormidesmis_ANT.LACV5.1"
"ESV_1045","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea"
"ESV_10450","Bacteria","Actinobacteria","Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia"
"ESV_10454","Bacteria","Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi"
"ESV_10456","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV_10457","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_1046","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter"
"ESV_10462","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"ESV_10463","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Family Acetobacteraceae"
"ESV_10464","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rubritepida"
"ESV_10465","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Family Micromonosporaceae"
"ESV_10466","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1"
"ESV_10467","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera"
"ESV_10468","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_10469","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_1047","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_10470","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia"
"ESV_10471","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ESV_1049","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","LiUU-11-161","Family LiUU-11-161"
"ESV_105","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"ESV_1052","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_10522","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ESV_1053","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","A21b","Family A21b"
"ESV_10533","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_10536","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_10541","Bacteria","Actinobacteria","Phylum Actinobacteria","Phylum Actinobacteria","Phylum Actinobacteria","Phylum Actinobacteria"
"ESV_10542","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"ESV_10545","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_10547","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10548","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_10549","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"ESV_1055","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_10550","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Family Sandaracinaceae"
"ESV_10556","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_10557","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_10558","Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Order Candidatus_Peribacteria","Order Candidatus_Peribacteria"
"ESV_10559","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_1056","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Order Chitinophagales","Order Chitinophagales"
"ESV_10560","Bacteria","Proteobacteria","Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria"
"ESV_1057","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Family Chloroflexaceae"
"ESV_10591","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix"
"ESV_10598","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera"
"ESV_106","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_1060","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_10607","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"ESV_10608","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"ESV_10610","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Family Tepidisphaeraceae"
"ESV_10615","Bacteria","WPS-2","Phylum WPS-2","Phylum WPS-2","Phylum WPS-2","Phylum WPS-2"
"ESV_10617","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"ESV_10618","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella"
"ESV_1062","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_10626","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_1063","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV_10630","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_10632","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Order Microtrichales","Order Microtrichales"
"ESV_10633","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Family Paracaedibacteraceae"
"ESV_10637","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_10638","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenaceae","Family Ardenticatenaceae"
"ESV_10639","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_10640","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"ESV_10641","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_10642","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_10643","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Family Rhizobiaceae"
"ESV_1066","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ESV_1067","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ESV_1068","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_1069","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Nibrella"
"ESV_107","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter"
"ESV_1070","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_10706","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"ESV_1071","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"ESV_10710","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Family Holosporaceae"
"ESV_1072","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ESV_10726","Bacteria","Proteobacteria","Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria"
"ESV_10727","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Family Ilumatobacteraceae"
"ESV_10728","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_10732","Bacteria","Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes"
"ESV_10733","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","LB3-76"
"ESV_10743","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Family Saccharimonadaceae"
"ESV_10748","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_10751","Bacteria","Latescibacteria","Phylum Latescibacteria","Phylum Latescibacteria","Phylum Latescibacteria","Phylum Latescibacteria"
"ESV_10753","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_10754","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","KD3-93","Family KD3-93"
"ESV_1076","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae","Candidatus_Nitrotoga"
"ESV_1078","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_1079","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_108","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"ESV_1080","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Family Chthoniobacteraceae"
"ESV_10801","Bacteria","Acidobacteria","Subgroup_6","Class Subgroup_6","Class Subgroup_6","Class Subgroup_6"
"ESV_10808","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera"
"ESV_10809","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_1081","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_10813","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_10814","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Family Bacteriovoracaceae"
"ESV_10816","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Proteiniclasticum"
"ESV_10818","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_1082","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","Family P3OB-42"
"ESV_10820","Bacteria","Cyanobacteria","Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia"
"ESV_10821","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ESV_10824","Bacteria","Actinobacteria","Actinobacteria","Class Actinobacteria","Class Actinobacteria","Class Actinobacteria"
"ESV_10825","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_10826","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_10827","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Family Chthoniobacteraceae"
"ESV_10828","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_1083","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_1084","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_1085","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium"
"ESV_1086","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus"
"ESV_1087","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ESV_1088","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_10892","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family Fimbriimonadaceae"
"ESV_109","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter"
"ESV_10909","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","Family mle1-27"
"ESV_1091","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_10910","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
